# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 239K of event 'cycles:ppp'
# Event count (approx.): 226544822357
#
# Overhead  Command  Shared Object      Symbol                                           
# ........  .......  .................  .................................................
#
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_v4_do_rcv
     0.01%  netperf  netperf            [.] 0x000000000001664c
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_add_backlog
     0.01%  netperf  netperf            [.] 0x000000000001726d
     0.01%  netperf  [kernel.kallsyms]  [k] __netif_receive_skb
     0.01%  netperf  [kernel.kallsyms]  [k] note_interrupt
     0.01%  netperf  [kernel.kallsyms]  [k] security_sock_rcv_skb
     0.01%  netperf  [kernel.kallsyms]  [k] __x86_indirect_thunk_r15
     0.01%  netperf  [kernel.kallsyms]  [k] handle_irq
     0.01%  netperf  [kernel.kallsyms]  [k] retint_kernel
     0.01%  netperf  [unknown]          [k] 0xfffffe000000601b
     0.01%  netperf  [kernel.kallsyms]  [k] ixgbe_write_eitr
     0.01%  netperf  [unknown]          [k] 0xfffffe000005e046
     0.01%  netperf  [kernel.kallsyms]  [k] swiotlb_sync_single
     0.01%  netperf  [kernel.kallsyms]  [k] minmax_running_min
     0.01%  netperf  [kernel.kallsyms]  [k] page_frag_free
     0.01%  netperf  netperf            [.] 0x000000000001646a
     0.01%  netperf  [kernel.kallsyms]  [k] rcu_bh_qs
     0.01%  netperf  netperf            [.] 0x000000000001665d
     0.01%  netperf  [unknown]          [k] 0xfffffe000005e02f
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_check_space
     0.01%  netperf  [kernel.kallsyms]  [k] eth_type_trans
     0.01%  netperf  netperf            [.] 0x0000000000016645
     0.01%  netperf  [kernel.kallsyms]  [k] skb_csum_hwoffload_help
     0.01%  netperf  netperf            [.] 0x00000000000156bc
     0.01%  netperf  [kernel.kallsyms]  [k] idle_cpu
     0.01%  netperf  netperf            [.] 0x0000000000016636
     0.01%  netperf  [kernel.kallsyms]  [k] free_one_page
     0.01%  netperf  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.01%  netperf  [kernel.kallsyms]  [k] sock_put
     0.01%  netperf  [kernel.kallsyms]  [k] ixgbe_fdir_add_signature_filter_82599
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_filter
     0.01%  netperf  [kernel.kallsyms]  [k] tcp_rack_update_reo_wnd
     0.01%  netperf  [kernel.kallsyms]  [k] sk_forced_mem_schedule
     0.01%  netperf  [kernel.kallsyms]  [k] alloc_pages_current
     0.01%  netperf  netperf            [.] 0x000000000001727c
     0.01%  netperf  [kernel.kallsyms]  [k] minmax_subwin_update
     0.01%  netperf  [kernel.kallsyms]  [k] ___slab_alloc
     0.01%  netperf  [kernel.kallsyms]  [k] __x86_indirect_thunk_r11
     0.01%  netperf  [kernel.kallsyms]  [k] __x86_indirect_thunk_r8
     0.01%  netperf  [unknown]          [k] 0xfffffe00000e2003
     0.01%  netperf  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.01%  netperf  netperf            [.] 0x00000000000155b5
     0.00%  netperf  [kernel.kallsyms]  [k] swiotlb_sync_single_for_device
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_parse_md5sig_option
     0.00%  netperf  netperf            [.] 0x000000000001665b
     0.00%  netperf  netperf            [.] 0x00000000000155bf
     0.00%  netperf  [kernel.kallsyms]  [k] rcu_irq_exit
     0.00%  netperf  [kernel.kallsyms]  [k] ip_copy_addrs
     0.00%  netperf  [kernel.kallsyms]  [k] __kfree_skb_flush
     0.00%  netperf  [kernel.kallsyms]  [k] skb_condense
     0.00%  netperf  netperf            [.] 0x00000000000155c6
     0.00%  netperf  [kernel.kallsyms]  [k] do_softirq.part.17
     0.00%  netperf  [unknown]          [k] 0xfffffe000005e032
     0.00%  netperf  [kernel.kallsyms]  [k] __xfrm_policy_check2.constprop.33
     0.00%  netperf  [kernel.kallsyms]  [k] policy_node
     0.00%  netperf  [kernel.kallsyms]  [k] apparmor_socket_sock_rcv_skb
     0.00%  netperf  [kernel.kallsyms]  [k] __slab_free
     0.00%  netperf  netperf            [.] 0x00000000000155d1
     0.00%  netperf  [kernel.kallsyms]  [k] __zone_watermark_ok
     0.00%  netperf  [unknown]          [k] 0xfffffe000005e02d
     0.00%  netperf  [kernel.kallsyms]  [k] get_task_policy.part.27
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_validate_incoming
     0.00%  netperf  netperf            [.] 0x00000000000155dc
     0.00%  netperf  [kernel.kallsyms]  [k] irq_may_run
     0.00%  netperf  [kernel.kallsyms]  [k] get_seconds
     0.00%  netperf  [kernel.kallsyms]  [k] swiotlb_sync_single_for_cpu
     0.00%  netperf  [kernel.kallsyms]  [k] __x86_indirect_thunk_rcx
     0.00%  netperf  [kernel.kallsyms]  [k] skb_zerocopy_clone
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_sacktag_write_queue
     0.00%  netperf  [unknown]          [k] 0xfffffe000008a01e
     0.00%  netperf  [kernel.kallsyms]  [k] task_tick_fair
     0.00%  netperf  [kernel.kallsyms]  [k] __put_compound_page
     0.00%  netperf  [kernel.kallsyms]  [k] skb_gro_reset_offset
     0.00%  netperf  [kernel.kallsyms]  [k] __irq_complete_move
     0.00%  netperf  netperf            [.] 0x0000000000005eae
     0.00%  netperf  [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  netperf  [kernel.kallsyms]  [k] hrtimer_active
     0.00%  netperf  [kernel.kallsyms]  [k] free_compound_page
     0.00%  netperf  [kernel.kallsyms]  [k] native_iret
     0.00%  netperf  [kernel.kallsyms]  [k] __cmpxchg_double_slab.isra.51
     0.00%  netperf  [kernel.kallsyms]  [k] mem_cgroup_uncharge
     0.00%  netperf  [unknown]          [k] 0xfffffe000008a025
     0.00%  netperf  [unknown]          [k] 0xfffffe0000006025
     0.00%  netperf  [kernel.kallsyms]  [k] trigger_load_balance
     0.00%  netperf  [kernel.kallsyms]  [k] __update_load_avg_se.isra.38
     0.00%  netperf  [kernel.kallsyms]  [k] reweight_entity
     0.00%  netperf  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.00%  netperf  [kernel.kallsyms]  [k] retint_user
     0.00%  netperf  [kernel.kallsyms]  [k] skb_gso_validate_mtu
     0.00%  netperf  [kernel.kallsyms]  [k] __put_page
     0.00%  netperf  [kernel.kallsyms]  [k] rcu_check_callbacks
     0.00%  netperf  [unknown]          [k] 0xfffffe000000601e
     0.00%  netperf  [kernel.kallsyms]  [k] native_read_msr
     0.00%  netperf  [kernel.kallsyms]  [k] PageHuge
     0.00%  netperf  [kernel.kallsyms]  [k] irq_entries_start
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_sacktag_walk
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_shifted_skb
     0.00%  netperf  [kernel.kallsyms]  [k] csum_partial
     0.00%  netperf  netperf            [.] 0x0000000000005ea0
     0.00%  netperf  [kernel.kallsyms]  [k] _raw_spin_trylock
     0.00%  netperf  [kernel.kallsyms]  [k] __page_cache_release
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_fastretrans_alert
     0.00%  netperf  [kernel.kallsyms]  [k] tcp_chrono_start
     0.00%  netperf  netperf            [.] 0x0000000000016463
     0.00%  netperf  [kernel.kallsyms]  [k] __inc_numa_state
     0.00%  netperf  [kernel.kallsyms]  [k] account_system_index_time
     0.00%  netperf  [kernel.kallsyms]  [k] update_wall_time
     0.00%  netperf  [kernel.kallsyms]  [k] smp_apic_timer_interrupt
     0.00%  netperf  [kernel.kallsyms]  [k] intel_pstate_update_util
     0.00%  netperf  [kernel.kallsyms]  [k] cpu_load_update
     0.00%  netperf  [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%  netperf  [kernel.kallsyms]  [k] update_cfs_group
     0.00%  netperf  [kernel.kallsyms]  [k] timekeeping_update
     0.00%  netperf  [kernel.kallsyms]  [k] timerqueue_add
     0.00%  netperf  [kernel.kallsyms]  [k] read_tsc
     0.00%  netperf  [kernel.kallsyms]  [k] native_write_msr
     0.00%  netperf  [kernel.kallsyms]  [k] find_next_bit
     0.00%  netperf  [unknown]          [k] 0xfffffe00000e202f
